"1";"brát";"23660";""
"2";"být";"4044082";""
"3";"čekat";"48386";""
"4";"dělit";"4357";""
"5";"dokázat";"58783";""
"6";"dopustit";"3338";""
"7";"dovědět";"1444";""
"8";"hádat";"3292";""
"9";"hnát";"3120";""
"10";"hýbat";"2704";""
"11";"chlubit";"1584";""
"12";"chvět";"2014";""
"13";"chytit";"7144";""
"14";"jít";"160655";""
"15";"lesknout";"1580";""
"16";"natáhnout";"5978";""
"17";"nést";"12988";""
"18";"očekávat";"12181";""
"19";"odrazit";"1929";""
"20";"odstěhovat";"1640";""
"21";"odvíjet";"1489";""
"22";"omluvit";"2708";""
"23";"orientovat";"2192";""
"24";"otáčet";"3160";""
"25";"otevírat";"4385";""
"26";"označovat";"6372";""
"27";"oženit";"2235";""
"28";"plést";"2639";""
"29";"pochlubit";"1640";""
"30";"ponořit";"2360";""
"31";"posunout";"4177";""
"32";"potýkat";"1900";""
"33";"poznat";"19220";""
"34";"pracovat";"36219";""
"35";"procházet";"8706";""
"36";"propadnout";"3379";""
"37";"prosadit";"4730";""
"38";"protáhnout";"2719";""
"39";"provádět";"9214";""
"40";"předpokládat";"11947";""
"41";"přibližovat";"2396";""
"42";"přihodit";"2154";""
"43";"přizpůsobit";"3336";""
"44";"rodit";"2683";""
"45";"rozejít";"1913";""
"46";"rozhlížet";"2171";""
"47";"rozhodovat";"6598";""
"48";"rozjet";"3117";""
"49";"rozpadnout";"1584";""
"50";"rozplakat";"1533";""
"51";"rozvíjet";"4301";""
"52";"řešit";"16016";""
"53";"řítit";"1464";""
"54";"shodovat";"1953";""
"55";"scházet";"4291";""
"56";"schovat";"3988";""
"57";"sklonit";"2944";""
"58";"smět";"18462";""
"59";"smířit";"2387";""
"60";"snižovat";"4868";""
"61";"spokojit";"1959";""
"62";"spolehnout";"1462";""
"63";"stáhnout";"7100";""
"64";"stavět";"6364";""
"65";"stavit";"4317";""
"66";"stěhovat";"1794";""
"67";"střídat";"3224";""
"68";"trápit";"5762";""
"69";"trefit";"3499";""
"70";"udělat";"60014";""
"71";"udržet";"9717";""
"72";"ujistit";"3795";""
"73";"ulevit";"2571";""
"74";"uplatňovat";"2781";""
"75";"ušklíbnout";"1582";""
"76";"uvidět";"17862";""
"77";"uvolnit";"5157";""
"78";"válet";"1770";""
"79";"valit";"1661";""
"80";"vést";"43036";""
"81";"vydávat";"6626";""
"82";"vyjadřovat";"5474";""
"83";"vypořádat";"1750";""
"84";"vypravit";"2779";""
"85";"vyptávat";"1957";""
"86";"vytratit";"1608";""
"87";"vytvořit";"20762";""
"88";"využívat";"15875";""
"89";"vyvinout";"4379";""
"90";"vyznat";"2016";""
"91";"vzpamatovat";"1975";""
"92";"zahledět";"1468";""
"93";"zamračit";"1936";""
"94";"zbláznit";"1898";""
"95";"zdržet";"1921";""
"96";"zhroutit";"2052";""
"97";"zlepšit";"4614";""
"98";"zmiňovat";"2892";""
"99";"zrodit";"1977";""
"100";"ztrácet";"7363";""
